회사명,회계년도,거래소코드
아이오케이,2016,078860
아이오케이,2018,078860
아이컴포넌트,2013,059100
아이크래프트,2018,052460
아이톡시,2012,052770
아이톡시,2013,052770
아이톡시,2015,052770
아이톡시,2018,052770
아이톡시,2019,052770
아이티센,2016,124500
아즈텍WB,2014,032080
아즈텍WB,2018,032080
아진산업,2018,013310
아프리카TV IR,2014,067160
알로이스,2019,297570
알에프세미,2011,096610
알에프세미,2018,096610
알에프텍,2016,061040
알엔투테크놀로지,2015,148250
알테오젠,2017,196170
알톤스포츠,2011,123750
알톤스포츠,2013,123750
알톤스포츠,2019,123750
알파홀딩스,2012,117670
알파홀딩스,2016,117670
알파홀딩스,2017,117670
알파홀딩스,2018,117670
애머릿지,2013,900100
애머릿지,2014,900100
애머릿지,2016,900100
애머릿지,2018,900100
애머릿지,2019,900100
액트로,2019,290740
앤디포스,2019,238090
앤씨앤,2011,092600
야스,2018,255440
양지사,2011,030960
어보브반도체,2011,102120
어보브반도체,2012,102120
어스앤에어로스페이스,2019,263540
에디슨EV,2013,136510
에디슨INNO,2019,056090
에스넷,2013,038680
에스디시스템,2013,121890
에스디시스템,2018,121890
에스디시스템,2019,121890
에스맥,2012,097780
에스맥,2014,097780
에스맥,2015,097780
에스맥,2016,097780
에스맥,2017,097780
에스씨디,2011,042110
에스씨디,2019,042110
에스아이리소스,2011,065420
에스아이리소스,2014,065420
에스아이리소스,2015,065420
에스아이리소스,2016,065420
에스아이리소스,2019,065420
에스앤더블류,2015,103230
에스앤에스텍,2014,101490
에스에이엠티,2012,031330
에스에이티,2011,060540
에스에이티,2013,060540
에스에프에이,2017,056190
에스엘바이오닉스,2016,214310
에스엘바이오닉스,2017,214310
에스엠코어,2015,007820
에스엠코어,2018,007820
에스와이,2016,109610
에스코넥,2011,096630
에스코넥,2012,096630
에스티오,2011,098660
에스티오,2014,098660
에스티오,2019,098660
에스티큐브,2014,052020
에스티큐브,2016,052020
에스폴리텍,2015,050760
에스피지 IR,2016,058610
